Description	
Number of Runs	750
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
483	900	1391	1	04/04/24 02:24:11 PM	
484	900	1377	1	04/04/24 02:24:12 PM	
485	900	1388	1	04/04/24 02:24:13 PM	
486	900	1381	1	04/04/24 02:24:14 PM	
487	900	1347	1	04/04/24 02:24:15 PM	
488	900	1406	1	04/04/24 02:24:16 PM	
489	900	1387	1	04/04/24 02:24:17 PM	
490	900	1417	1	04/04/24 02:24:19 PM	
491	900	1389	1	04/04/24 02:24:20 PM	
492	900	1409	1	04/04/24 02:24:21 PM	
493	900	1416	1	04/04/24 02:24:22 PM	
494	900	1402	1	04/04/24 02:24:23 PM	
495	900	1410	1	04/04/24 02:24:24 PM	
496	900	1388	1	04/04/24 02:24:25 PM	
497	900	1391	1	04/04/24 02:24:27 PM	
498	900	1387	1	04/04/24 02:24:28 PM	
499	900	1388	1	04/04/24 02:24:29 PM	
500	900	1406	1	04/04/24 02:24:30 PM	
501	900	1395	1	04/04/24 02:24:31 PM	
502	900	1369	1	04/04/24 02:24:32 PM	
503	900	1385	1	04/04/24 02:24:33 PM	
504	900	1410	1	04/04/24 02:24:35 PM	
505	900	1372	1	04/04/24 02:24:36 PM	
506	900	1407	1	04/04/24 02:24:37 PM	
507	900	1382	1	04/04/24 02:24:38 PM	
508	900	1378	1	04/04/24 02:24:39 PM	
509	900	1392	1	04/04/24 02:24:40 PM	
510	900	1403	1	04/04/24 02:24:42 PM	
511	900	1392	1	04/04/24 02:24:43 PM	
512	900	1382	1	04/04/24 02:24:44 PM	
513	900	1374	1	04/04/24 02:24:45 PM	
514	900	1376	1	04/04/24 02:24:46 PM	
515	900	1347	1	04/04/24 02:24:47 PM	
516	900	1424	1	04/04/24 02:24:48 PM	
517	900	1416	1	04/04/24 02:24:50 PM	
518	900	1391	1	04/04/24 02:24:51 PM	
519	900	1361	1	04/04/24 02:24:52 PM	
520	900	1397	1	04/04/24 02:24:53 PM	
521	900	1385	1	04/04/24 02:24:54 PM	
522	900	1358	1	04/04/24 02:24:55 PM	
523	900	1398	1	04/04/24 02:24:56 PM	
524	900	1402	1	04/04/24 02:24:58 PM	
525	900	1372	1	04/04/24 02:24:59 PM	
526	900	1409	1	04/04/24 02:25:00 PM	
527	900	1363	1	04/04/24 02:25:01 PM	
528	900	1359	1	04/04/24 02:25:02 PM	
529	900	1403	1	04/04/24 02:25:03 PM	
530	900	1403	1	04/04/24 02:25:04 PM	
531	900	1382	1	04/04/24 02:25:06 PM	
532	900	1410	1	04/04/24 02:25:07 PM	
533	900	1452	1	04/04/24 02:25:08 PM	
